scientific_name,longitude,latitude
pseudopodoces humilis,101.57,34.21
pseudopodoces humilis,102.37,34.21
pseudopodoces humilis,94.25,34.22
pseudopodoces humilis,103.19,34.24
pseudopodoces humilis,90.37,34.26
pseudopodoces humilis,102.35,34.28
pseudopodoces humilis,92.58,34.32
pseudopodoces humilis,75.96,34.34
pseudopodoces humilis,102.48,34.39
pseudopodoces humilis,102.69,34.4
pseudopodoces humilis,76.05,34.42
pseudopodoces humilis,102.54,34.42
pseudopodoces humilis,76.08,34.48
pseudopodoces humilis,100.25,34.48
pseudopodoces humilis,99.98,34.53
pseudopodoces humilis,102.58,34.57
pseudopodoces humilis,98.04,34.65
pseudopodoces humilis,77.57,34.69
pseudopodoces humilis,98.1,34.72
pseudopodoces humilis,101.61,34.73
pseudopodoces humilis,98.13,34.79
pseudopodoces humilis,77.53,34.8
pseudopodoces humilis,102.69,34.82
pseudopodoces humilis,98.13,34.84
pseudopodoces humilis,98.33,34.84
pseudopodoces humilis,94.91,34.85
pseudopodoces humilis,98.25,34.87
pseudopodoces humilis,95.14,34.88
pseudopodoces humilis,97.71,34.9
pseudopodoces humilis,102.12,34.9
pseudopodoces humilis,94.78,34.91
pseudopodoces humilis,98.21,34.91
pseudopodoces humilis,98.49,34.91
pseudopodoces humilis,102.49,34.95
pseudopodoces humilis,103.77,34.95
pseudopodoces humilis,102.59,34.98
pseudopodoces humilis,103.06,34.98
pseudopodoces humilis,94.51,35.01
pseudopodoces humilis,98.06,35.03
pseudopodoces humilis,97.61,35.04
pseudopodoces humilis,102.43,35.05
pseudopodoces humilis,94.19,35.07
pseudopodoces humilis,101.82,35.07
pseudopodoces humilis,102.33,35.08
pseudopodoces humilis,97.77,35.09
pseudopodoces humilis,103.1,35.09
pseudopodoces humilis,102.44,35.1
pseudopodoces humilis,98.82,35.11
pseudopodoces humilis,102.43,35.15
pseudopodoces humilis,102.55,35.17
pseudopodoces humilis,98.96,35.18
pseudopodoces humilis,102.48,35.21
pseudopodoces humilis,93.91,35.25
pseudopodoces humilis,101.94,35.28
